winery name|wine|price|type|vintage|varietal
Adelaida Cellars|Cabernet Sauvignon|$32.00|red|2007|Cabernet Sauvignon
|Zinfaldel|$28.00|red|2007|Zinfandel
|Chardonnay |$32.00|white|2007|Chardonnay
|Viognier |$30.00|white |2008|Viognier 
Alta Colina Vineyard & Winery |Syrah|$38.00|red|2007|Syrah
|GSM|$40.00|red|2007|Rhone
|Claudia Cuvée|$28.00|white|2008|Rhone
AmByth Estate | Grenache |$45.00|red|2008| Grenache 
| Mourvedre |$45.00|red|2008| Mourvedre 
|Nebbiolo|$32.00|red|2007|Nebbiolo
Ancient Peaks Winery |Zinfandel|$16.00|red|2008|Zinfandel
|Cabernet Sauvignon|$16.00|red|2007|Cabernet Sauvignon
|Syrah|$16.00|red|2007|Syrah
Anglim Winery|Grenache Blanc|$28.00|white|2008|Grenache Blanc
|Mourvedre|$34.00|red |2007|Mourvedre
|Pinot Noir|$34.00|red|2007|Pinot Noir
|Gorgeous|$22.00|dessert|2006|Syrah
AronHill Vineyards|Primitivo |$29.00|red|2005|Primitivo
|Chardonnay |$16.00|white|2005|Chardonnay
Arroyo Robles Winery|Grand Cuvee |$16.00|sparkling wine|2009|Chardonny
|Syrah|$28.00|red|2007|Syrah
|Tempranillo|$32.00|red|2007|Tempranillo
|Viognier|$26.00|white |2008|Viogier
August Ridge Vineyards|Jovial|$42.00|red|2007|Super Tuscan
|Sauvignon Blanc|$14.00|white|2009|Sauvignon Blanc
|Nebbiolo|$32.00|red|2007|Nebbiolo
|Sangiovese|$30.00|red|2006|Sangiovese
 Austin Hope|Syrah|$42.00|red|2008|Syrah
|Late Harvest Roussanne|$28.00|dessert|2005|Roussanne
B & E Vineyard/Winery|Reserve Merlot|$20.00|red|2003|Merlot
|Reserve Cabernet Sauvignon|$25.00|red|2003|Cabernet Sauvignon
|Cabernet Sauvignon|$30.00|red|2006|Cabernet Sauvignon
Barrel 27 Wine Company|Sittin' Pretty Viognier|$18.00|white|2009|Viogier
|Head Honcho Syrah|$28.00|red|2007|Syrah
|Rock and a Hard Place Grenache|$18.00|red|2007|Grenache
Bella Luna Winery| Sangiovese |$40.00|red|2008| Sangiovese 
|Estate Riserva "Bellicaia"|$45.00|red|2006|Cabernet Sauvignon
|"Lot One" Barbera|$38.00|red|2008|Barbera
|"Piccolo Rosso" Rosé|$26.00|rose|2009|Blend
Bianchi Winery |Pinot Noir |$30.00|red|2006|Pinot noir
|Merlot|$22.00|red|2006|Merlot
|Pinot Grigio|$21.00|white|2008|Pinot Gregio
|Barbera |$28.00|red|2006|Barbera
Bishop's Peak | Sauvignon Blanc |$18.00|white|2009|Sauvignon Blanc
|Syrah|$18.00|red|2006|Syrah
|Cabernet Sauvignon|$18.00|red|2007|Cabernet Sauvignon
| Petite Sirah |$25.00|red|2007|Syrah
Brian Benson Cellars |Cabernet Sauvignon|$32.00|red|2007|Cabernet Sauvignon
|Syrah Denner Vineyard|$35.00|red|2007|Syrah
Calcareous|Marsanne|$28.00|white|2008|Marsanne
|Meritage|$38.00|red|2007|Meritage
|Muscat|$19.00|white|2008|Muscat
Caparone Winery |Nebbiolo|$14.00|red|2006|Nebbiolo
|Cabernet sauvignon|$14.00|red|2004|Cabernet Sauvignon
|Zinfandel|$14.00|red|2004|Zinfandel
Carina Cellars |Grenache Blanc|$25.00|white|2009|Greache Blanc
|Zinfandel|$32.00|red|2007|Zinfandel
|Late Harvest Viognier|$26.00|white|2006|Viognier
Carmody McKnight Estate Wines |cabernet franc|$27.00|red|2006|Cabernet Franc
|pinot noir|$34.00|red|2007|Pinot noir
| late harvest cabernet franc |$22.50|dessert|2006|Cabernet Franc
Cass Winery | Grenache|$32.00|red|2008|Grenache
|syrah|$36.00|red|2007|Syrah
| Petite Sirah|$36.00|red|2006|Syrah
Castoro Cellars |Muscat Canelli|$8.95|white|2009|Muscat
|Barbera |$21.95|red|2006|Barbera 
|white zinfandel |$6.95|white|2009|Zinfandel
Cayucos Cellars|Chardonnay |$20.00|white|2005|Chardonnay
| Pinot Noir |$26.00|red|2004|Pinot Noir
|Cabernet Sauvignon |$26.00|red|2003|Cabernet Sauvignon
Cerro Prieto Vineyard and Cellars | Merlot Reserve    |$35.00|red|2007|Merlot
|Paso Bordo|$39.00|red|2007|Cabernet Sauvignon
Changala Winery |Cabernet Sauvignon|$20.00|red|2005|Cabernet Sauvignon
|Petite Sirah|$24.00|red|2006|Syrah
|Grenache|$22.00|red|2006|Grenache
Chateau Margene | Petite Sirah|$52.00|red|2007|Syrah
|Syrah|$48.00|red|2007|Syrah
|Cabernet Sauvignon|$52.00|red|2006|Cabernet Sauvignon
Christian Lazo Wines |Cabernet Franc|$23.00|red|2007|Cabernet Franc
|Paso Robles Zinfandel|$20.00|red|2006|Zinfandel
|Sauvignon Blanc|$18.00|white|2008|Sauvignon Blanc
Chronic Cellars Winery |Purple Paradise|$13.99|red|2009|Zinfandel
| Sofa King Bueno|$20.00|red|2009|Blend
| Sofa King Suite|$13.99|white|2009|Reisling
Chumeia Vineyards |Cabernet Sauvignon |$14.00|red|2007|Cabernet Sauvignon 
|Chardonnay |$12.00|white|2009|Chardonnay 
| Zinfandel |$14.00|red|2007| Zinfandel 
Cinquain Cellars |Syrah|$41.00|red|2006|Syrah
|Sauvignon Blanc|$23.00|white|2009|Sauvignon Blanc
|Merlot|$23.00|red|2006|Merlot
Clautiere Vineyard |Mourvedre|$26.00|red|2007|Mourvedre
|Viognier|$18.00|white|2009|Viognier
Clayhouse Wines |Petite sirah|$25.00|red|2007|Syrah
|Sauvignon Blanc|$14.00|white|2009|Sauvignon Blanc
|Cabernet sauvignon|$15.00|red|2007|Cabernet Sauvignon
Cottonwood Canyon Vineyard & Winery |Rose Of Syrah|$24.00|rose|2008|Syrah
|Syrah|$32.00|red|2005|Syrah
|Chardonnay|$24.00|white|2001|Chardonnay
