winery name|wine| price |type|vintage|varietal
Acacia|Cuvee 304|$25.00 |white|2009|Chardonnay
|Carneros Lone Tree|$50.00 |red|2008|Pinto Noir
|Kick Ranch|$45.00 |red|2008|Syrah
|Carneros Late Harvest|$18.00 |dessert|2006|Chardonnay
Ackerman Family Vineyards |Alavigna Tosca|$50.00 |red|2007| Super Tuscan
|Cabernet Sauvignon|$75.00 |red|2005|Cabernet Sauvignon
|Cabernet Sauvignon|$75.00 |red|2004|Cabernet Sauvignon
Adastra Vineyards|Chardonnay|$35.00 |white|2007|Chardonnay
|Merlot|$40.00 |red|2007|Merlot
|Proximus|$56.00 |red|2006|Pinot Noir
|Ed's Red|$15.00 |red|2007|Blend
Aetna Springs Cellars |Estate Cabernet Sauvignon|$20.00 |red|2004|Cabernet Sauvignon
|Estate Syrah|$20.00 |red|2004|Syrah
Alpha Omega Winery|Chardonnay Unoaked|$36.00 |white|2009|Chardonnay
|Propietary Red|$86.00 |red|2007|Blend
|Sauvignon Blanc|$34.00 |white|2009|Sauvignon Blanc
|Late Harvest|$82.00 |dessert|2008|Blend
75 Wine Co.|Sauvignon Blanc|$13.00 |white|2008|Sauvignon Blanc
|The Sum|$20.00 |red|2008|Blend
|Cabernet Sauvignon|$20.00 |red|2009|Cabernet Sauvignon
Abiouness Wines|Stanley Ranch Carneros|$38.00 |red|2007|Pinot Noir
|Hudson Valley Carneros|$40.00 |red|2007|Pinot Noir
|Game Farm Ranch|$30.00 |red|2006|Sangiovese
|Rose Of Pinot Noir|$15.00 |rose|2009|Pinot Noir
Ahnfelt Wines|Sauvignon Blanc||white|2006|Sauvignon Blanc
|Merlot||red|2005|Merlot
|Cabernet Sauvignon||red|2005|Cabernet Sauvignon
Alex Sotelo Cellars|Alma Sauvignon Blanc||white|2008|Sauvignon Blanc
|Merlot||red|2005|Merlot
|The Big A Cabernet Sauvignon||red|2005|Cabernet Sauvignon
|Zinfandel||red|2005|Zinfandel
Allora Vineyards|Cabernet Franc||red|2006|Cabernet Franc
|Cielo||red|2006|Blend
